player,team,nation,position,age,matches_played,starts,minutes,goals,assists,yellow_cards,red_cards,xG,xAG,PrgC,PrgP,Prgr,Gls/90,Ast/90,xG/90,xGA/90,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,Long_Cmp%,KP,1/3,PPA,CrsPA,PrgP/passing,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att,Succ%,Tkld%,Carries,ProDist,ProgC,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Lost,Blocks,Sh,Pass,Int,SCA,SCA90,GCA,GCA90,Fls,Fld,Off,Crs,Recov,Won,Won%,GA90,Save%,CS%,PSave%
Dominic Calvert-Lewin,"2024-2025 Everton Stats
(Premier League)",eng ENG,FW,28,22.0,19.0,1574.0,3.0,1.0,2.0,0.0,6.1,0.6,22.0,19.0,105.0,0.17,0.06,0.35,0.04,37.0,0.97,0.07,12.3,174.0,62.6,2035.0,70.0,58.3,37.5,7.0,8.0,5.0,1.0,19.0,491.0,21.0,38.0,204.0,254.0,82.0,6.0,40.0,52.0,268.0,1398.0,22.0,16.0,71.0,32.0,402.0,105.0,9.0,7.0,79.0,6.0,2.0,4.0,6.0,25.0,1.43,4.0,0.23,27.0,22.0,27.0,6.0,32.0,83.0,51.2,N/a,N/a,N/a,N/a
Dominic Solanke,"2024-2025 Tottenham Hotspur Stats
(Premier League)",eng ENG,FW,27,23.0,23.0,2028.0,7.0,3.0,0.0,0.0,9.9,2.9,29.0,45.0,85.0,0.31,0.13,0.44,0.13,39.3,0.98,0.13,12.2,245.0,71.8,3296.0,76.3,77.1,66.7,14.0,20.0,9.0,0.0,45.0,616.0,31.0,66.0,283.0,273.0,106.0,12.0,33.3,60.4,365.0,1975.0,29.0,14.0,65.0,45.0,431.0,85.0,18.0,11.0,54.0,17.0,7.0,10.0,0.0,37.0,1.64,8.0,0.36,36.0,35.0,5.0,4.0,35.0,41.0,43.2,N/a,N/a,N/a,N/a
Dominik Szoboszlai,"2024-2025 Liverpool Stats
(Premier League)",hu HUN,MF,24,30.0,24.0,2120.0,5.0,3.0,6.0,0.0,6.8,5.0,63.0,106.0,115.0,0.21,0.13,0.29,0.21,29.3,0.72,0.09,18.1,960.0,84.3,14859.0,88.9,88.1,71.8,41.0,44.0,30.0,4.0,106.0,1362.0,21.0,174.0,662.0,544.0,89.0,37.0,54.3,37.1,704.0,3590.0,63.0,17.0,34.0,20.0,932.0,115.0,29.0,19.0,20.0,33.0,4.0,29.0,9.0,95.0,4.03,12.0,0.51,35.0,21.0,4.0,32.0,112.0,17.0,45.9,N/a,N/a,N/a,N/a
Donyell Malen,"2024-2025 Aston Villa Stats
(Premier League)",nl NED,FW,26,9.0,2.0,259.0,3.0,0.0,0.0,0.0,1.6,0.1,7.0,5.0,23.0,1.04,0.0,0.55,0.02,70.0,2.43,0.3,15.2,43.0,70.5,555.0,82.9,73.3,50.0,2.0,5.0,1.0,0.0,5.0,101.0,2.0,7.0,27.0,73.0,16.0,4.0,30.0,50.0,60.0,450.0,7.0,3.0,6.0,6.0,66.0,23.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,1.38,0.0,0.0,1.0,4.0,2.0,6.0,7.0,1.0,20.0,N/a,N/a,N/a,N/a
Dwight McNeil,"2024-2025 Everton Stats
(Premier League)",eng ENG,"MF,FW",25,15.0,13.0,1145.0,3.0,4.0,1.0,0.0,0.9,3.8,32.0,61.0,65.0,0.24,0.31,0.07,0.3,34.8,0.63,0.13,22.0,378.0,73.4,7197.0,86.3,81.4,53.8,33.0,29.0,33.0,10.0,61.0,621.0,2.0,61.0,269.0,306.0,18.0,17.0,54.1,43.2,361.0,2255.0,32.0,4.0,22.0,24.0,417.0,65.0,11.0,6.0,14.0,7.0,0.0,7.0,5.0,61.0,4.79,7.0,0.55,6.0,13.0,1.0,91.0,64.0,3.0,17.6,N/a,N/a,N/a,N/a
Eberechi Eze,"2024-2025 Crystal Palace Stats
(Premier League)",eng ENG,"MF,FW",26,27.0,25.0,2174.0,3.0,8.0,1.0,0.0,7.0,4.7,62.0,84.0,136.0,0.12,0.33,0.29,0.2,25.8,0.95,0.03,21.4,674.0,74.5,11283.0,85.7,83.1,43.7,51.0,41.0,30.0,3.0,84.0,1226.0,13.0,162.0,581.0,512.0,79.0,35.0,47.9,47.1,736.0,4488.0,62.0,20.0,45.0,42.0,807.0,136.0,36.0,22.0,35.0,24.0,0.0,24.0,10.0,112.0,4.64,9.0,0.37,8.0,44.0,9.0,97.0,122.0,6.0,14.6,N/a,N/a,N/a,N/a
Eddie Nketiah,"2024-2025 Crystal Palace Stats
(Premier League)",eng ENG,"FW,MF",25,22.0,7.0,750.0,1.0,1.0,5.0,1.0,3.5,1.5,32.0,15.0,61.0,0.12,0.12,0.42,0.18,35.5,1.32,0.03,15.1,140.0,72.9,2079.0,77.9,82.3,61.5,11.0,18.0,4.0,0.0,15.0,315.0,7.0,33.0,128.0,160.0,52.0,11.0,47.1,35.3,184.0,1358.0,32.0,12.0,25.0,13.0,223.0,61.0,12.0,5.0,26.0,9.0,0.0,9.0,2.0,23.0,2.76,2.0,0.24,24.0,21.0,2.0,5.0,21.0,16.0,38.1,N/a,N/a,N/a,N/a
Ederson,"2024-2025 Manchester City Stats
(Premier League)",br BRA,GK,31,22.0,22.0,1960.0,0.0,4.0,3.0,0.0,0.0,1.5,0.0,1.0,0.0,0.0,0.18,0.0,0.07,N/a,0.0,N/a,N/a,693.0,88.1,17056.0,100.0,98.3,65.7,4.0,0.0,1.0,0.0,1.0,833.0,587.0,824.0,9.0,0.0,0.0,2.0,N/a,N/a,563.0,2612.0,0.0,0.0,1.0,0.0,529.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.28,4.0,0.18,1.0,0.0,0.0,0.0,37.0,4.0,80.0,1.15,68.5,31.8,0.0
Edmond-Paris Maghoma,"2024-2025 Brentford Stats
(Premier League)",eng ENG,"MF,FW",23,8.0,0.0,119.0,0.0,0.0,0.0,0.0,0.1,0.1,4.0,13.0,4.0,0.0,0.0,0.09,0.08,0.0,0.0,0.0,23.8,76.0,90.5,1259.0,95.0,93.5,85.7,1.0,3.0,0.0,0.0,13.0,101.0,2.0,18.0,58.0,27.0,4.0,3.0,75.0,25.0,68.0,414.0,4.0,1.0,2.0,0.0,75.0,4.0,2.0,1.0,3.0,2.0,2.0,0.0,1.0,4.0,3.03,1.0,0.76,2.0,4.0,0.0,3.0,7.0,1.0,25.0,N/a,N/a,N/a,N/a
Edson Álvarez,"2024-2025 West Ham United Stats
(Premier League)",mx MEX,MF,27,25.0,19.0,1633.0,0.0,1.0,8.0,1.0,0.3,0.8,21.0,75.0,18.0,0.0,0.06,0.02,0.04,9.1,0.06,0.0,26.7,763.0,85.7,12894.0,88.8,89.7,73.5,11.0,20.0,11.0,3.0,75.0,1101.0,61.0,323.0,612.0,174.0,12.0,33.0,45.2,38.7,603.0,3371.0,21.0,2.0,25.0,13.0,734.0,18.0,44.0,23.0,20.0,21.0,8.0,13.0,16.0,25.0,1.38,2.0,0.11,37.0,18.0,4.0,6.0,78.0,28.0,58.3,N/a,N/a,N/a,N/a
Elliot Anderson,"2024-2025 Nottingham Forest Stats
(Premier League)",eng ENG,MF,22,31.0,27.0,2227.0,1.0,6.0,6.0,0.0,1.6,3.1,36.0,112.0,77.0,0.04,0.24,0.07,0.12,15.2,0.2,0.03,19.8,844.0,78.1,13378.0,89.0,80.5,46.0,33.0,27.0,16.0,2.0,112.0,1435.0,79.0,337.0,676.0,450.0,55.0,90.0,49.3,38.8,716.0,3972.0,36.0,15.0,51.0,34.0,846.0,77.0,76.0,49.0,20.0,41.0,8.0,33.0,25.0,74.0,2.99,10.0,0.4,37.0,50.0,4.0,69.0,170.0,37.0,64.9,N/a,N/a,N/a,N/a
Emerson Palmieri,"2024-2025 West Ham United Stats
(Premier League)",it ITA,DF,30,27.0,23.0,1851.0,2.0,1.0,5.0,0.0,1.8,1.5,38.0,56.0,72.0,0.1,0.05,0.09,0.07,50.0,0.34,0.14,18.8,747.0,79.1,11003.0,89.1,79.9,43.3,16.0,22.0,11.0,5.0,56.0,1167.0,74.0,378.0,491.0,313.0,24.0,39.0,33.3,56.7,483.0,2644.0,38.0,8.0,22.0,7.0,636.0,72.0,53.0,28.0,18.0,30.0,7.0,23.0,18.0,39.0,1.9,2.0,0.1,21.0,13.0,0.0,59.0,82.0,15.0,45.5,N/a,N/a,N/a,N/a
Emi Buendía,"2024-2025 Aston Villa Stats
(Premier League)",ar ARG,"MF,FW",28,12.0,0.0,98.0,0.0,0.0,1.0,0.0,0.7,0.0,3.0,7.0,6.0,0.0,0.0,0.6,0.02,0.0,0.0,0.0,19.1,49.0,81.7,624.0,91.7,85.7,20.0,1.0,5.0,1.0,0.0,7.0,82.0,0.0,17.0,35.0,31.0,3.0,5.0,0.0,100.0,53.0,185.0,3.0,0.0,4.0,3.0,64.0,6.0,6.0,6.0,2.0,5.0,1.0,4.0,0.0,3.0,2.76,0.0,0.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,N/a,N/a,N/a,N/a
Emil Krafth,"2024-2025 Newcastle United Stats
(Premier League)",se SWE,DF,30,7.0,2.0,261.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,3.0,1.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,14.6,82.0,77.4,1340.0,77.1,84.8,50.0,1.0,3.0,0.0,0.0,3.0,136.0,24.0,71.0,49.0,17.0,4.0,2.0,0.0,100.0,62.0,279.0,3.0,0.0,2.0,1.0,71.0,1.0,2.0,1.0,4.0,5.0,4.0,1.0,2.0,3.0,1.03,0.0,0.0,3.0,1.0,0.0,1.0,12.0,5.0,55.6,N/a,N/a,N/a,N/a
Emile Smith Rowe,"2024-2025 Fulham Stats
(Premier League)",eng ENG,MF,24,28.0,23.0,1805.0,5.0,2.0,2.0,0.0,4.1,1.1,50.0,113.0,106.0,0.25,0.1,0.21,0.05,25.0,0.4,0.16,15.4,803.0,90.2,11521.0,92.4,95.8,69.2,18.0,37.0,13.0,1.0,113.0,1067.0,20.0,148.0,504.0,425.0,51.0,24.0,48.5,45.5,699.0,3431.0,50.0,11.0,31.0,13.0,820.0,106.0,30.0,17.0,16.0,19.0,2.0,17.0,10.0,62.0,3.09,11.0,0.55,17.0,12.0,4.0,12.0,62.0,6.0,27.3,N/a,N/a,N/a,N/a
Emiliano Martínez,"2024-2025 Aston Villa Stats
(Premier League)",ar ARG,GK,32,31.0,31.0,2700.0,0.0,0.0,4.0,0.0,0.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.02,N/a,0.0,N/a,N/a,928.0,80.0,23885.0,97.6,98.2,50.8,1.0,0.0,0.0,0.0,3.0,1217.0,913.0,1202.0,15.0,0.0,0.0,1.0,100.0,0.0,732.0,3703.0,0.0,0.0,1.0,0.0,668.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,5.0,0.17,1.0,0.03,1.0,5.0,0.0,0.0,28.0,7.0,87.5,1.4,65.8,16.1,50.0
Emmanuel Agbadou,"2024-2025 Wolverhampton Wanderers Stats
(Premier League)",ci CIV,DF,27,10.0,10.0,870.0,0.0,0.0,2.0,0.0,0.3,0.1,1.0,19.0,0.0,0.0,0.0,0.03,0.01,20.0,0.1,0.0,24.6,465.0,83.2,9467.0,91.7,91.0,58.3,2.0,2.0,1.0,0.0,19.0,674.0,107.0,366.0,296.0,18.0,3.0,14.0,70.0,20.0,398.0,1927.0,1.0,0.0,2.0,3.0,424.0,0.0,21.0,15.0,13.0,13.0,9.0,4.0,9.0,12.0,1.24,2.0,0.21,3.0,4.0,1.0,1.0,51.0,18.0,58.1,N/a,N/a,N/a,N/a
Enes Ünal,"2024-2025 Bournemouth Stats
(Premier League)",tr TUR,"FW,MF",27,17.0,2.0,345.0,2.0,1.0,2.0,0.0,2.7,0.4,4.0,12.0,22.0,0.52,0.26,0.72,0.1,35.0,1.83,0.1,14.6,63.0,63.6,685.0,76.9,60.7,0.0,4.0,3.0,4.0,0.0,12.0,172.0,6.0,14.0,63.0,95.0,26.0,3.0,8.3,83.3,91.0,261.0,4.0,1.0,17.0,13.0,133.0,22.0,1.0,0.0,22.0,1.0,0.0,1.0,0.0,9.0,2.35,3.0,0.78,6.0,9.0,1.0,4.0,16.0,24.0,52.2,N/a,N/a,N/a,N/a
Enzo Fernández,"2024-2025 Chelsea Stats
(Premier League)",ar ARG,MF,24,30.0,26.0,2410.0,5.0,5.0,7.0,0.0,5.3,5.7,53.0,185.0,103.0,0.19,0.19,0.2,0.21,37.5,0.67,0.1,18.4,1321.0,80.3,23379.0,89.1,85.0,58.5,67.0,50.0,35.0,6.0,185.0,1909.0,31.0,296.0,966.0,659.0,72.0,72.0,48.8,34.9,1030.0,4725.0,53.0,8.0,26.0,26.0,1397.0,103.0,57.0,28.0,27.0,32.0,5.0,27.0,11.0,128.0,4.78,13.0,0.49,45.0,42.0,1.0,94.0,130.0,13.0,32.5,N/a,N/a,N/a,N/a
Erling Haaland,"2024-2025 Manchester City Stats
(Premier League)",no NOR,FW,24,28.0,28.0,2480.0,21.0,3.0,2.0,0.0,20.8,2.8,19.0,18.0,103.0,0.76,0.11,0.76,0.1,54.5,1.96,0.19,12.2,225.0,66.0,2706.0,70.6,66.7,66.7,26.0,14.0,7.0,1.0,18.0,578.0,22.0,39.0,200.0,344.0,170.0,6.0,34.4,59.4,272.0,1310.0,19.0,19.0,39.0,25.0,427.0,103.0,9.0,5.0,45.0,11.0,1.0,10.0,5.0,62.0,2.25,9.0,0.33,22.0,12.0,4.0,3.0,29.0,49.0,52.1,N/a,N/a,N/a,N/a
Ethan Nwaneri,"2024-2025 Arsenal Stats
(Premier League)",eng ENG,"FW,MF",18,22.0,10.0,778.0,3.0,2.0,1.0,0.0,1.0,1.0,42.0,28.0,93.0,0.35,0.23,0.11,0.12,35.0,0.81,0.15,18.7,274.0,79.0,3973.0,92.0,75.8,48.5,12.0,21.0,11.0,5.0,28.0,455.0,3.0,43.0,148.0,269.0,36.0,18.0,57.4,31.5,302.0,2405.0,42.0,15.0,20.0,17.0,327.0,93.0,11.0,7.0,7.0,8.0,2.0,6.0,1.0,21.0,2.43,3.0,0.35,7.0,5.0,6.0,50.0,32.0,3.0,30.0,N/a,N/a,N/a,N/a
Ethan Pinnock,"2024-2025 Brentford Stats
(Premier League)",jm JAM,DF,31,22.0,21.0,1913.0,2.0,0.0,2.0,0.0,1.1,1.2,3.0,41.0,9.0,0.09,0.0,0.05,0.05,60.0,0.28,0.2,11.1,924.0,85.6,17045.0,94.2,89.4,57.9,8.0,4.0,4.0,1.0,41.0,1348.0,294.0,783.0,457.0,109.0,24.0,24.0,33.3,66.7,633.0,3117.0,3.0,0.0,2.0,4.0,760.0,9.0,35.0,19.0,43.0,29.0,18.0,11.0,24.0,21.0,0.99,0.0,0.0,8.0,4.0,0.0,9.0,50.0,63.0,59.4,N/a,N/a,N/a,N/a
Evan Ferguson,"2024-2025 West Ham United Stats
(Premier League)",ie IRL,FW,20,6.0,1.0,140.0,0.0,0.0,0.0,0.0,0.6,0.3,1.0,0.0,6.0,0.0,0.0,0.36,0.19,20.0,0.64,0.0,17.2,25.0,78.1,290.0,83.3,66.7,0.0,2.0,1.0,0.0,0.0,0.0,61.0,1.0,6.0,26.0,29.0,10.0,0.0,60.0,40.0,31.0,123.0,1.0,1.0,8.0,5.0,40.0,6.0,2.0,0.0,7.0,2.0,1.0,1.0,1.0,4.0,2.57,0.0,0.0,1.0,2.0,0.0,0.0,8.0,5.0,41.7,N/a,N/a,N/a,N/a
Evan Ferguson,"2024-2025 Brighton & Hove Albion Stats
(Premier League)",ie IRL,FW,20,13.0,2.0,246.0,1.0,0.0,0.0,0.0,0.5,0.4,2.0,1.0,9.0,0.37,0.0,0.2,0.15,28.6,0.73,0.14,19.2,43.0,74.1,484.0,86.1,72.7,25.0,3.0,1.0,0.0,0.0,1.0,88.0,7.0,13.0,50.0,26.0,9.0,5.0,50.0,50.0,42.0,183.0,2.0,2.0,5.0,6.0,52.0,9.0,4.0,3.0,9.0,3.0,1.0,2.0,0.0,4.0,1.47,0.0,0.0,3.0,1.0,0.0,0.0,10.0,4.0,30.8,N/a,N/a,N/a,N/a
Evanilson,"2024-2025 Bournemouth Stats
(Premier League)",br BRA,FW,25,24.0,21.0,1723.0,9.0,0.0,0.0,0.0,10.3,1.5,24.0,17.0,79.0,0.47,0.0,0.54,0.08,49.1,1.41,0.16,13.0,173.0,69.5,2106.0,73.5,70.6,80.0,21.0,13.0,2.0,0.0,17.0,408.0,15.0,31.0,154.0,225.0,101.0,9.0,31.6,36.8,249.0,1355.0,24.0,13.0,28.0,19.0,291.0,79.0,11.0,6.0,52.0,8.0,1.0,7.0,0.0,53.0,2.77,7.0,0.37,26.0,40.0,14.0,0.0,52.0,32.0,38.1,N/a,N/a,N/a,N/a
Ezri Konsa,"2024-2025 Aston Villa Stats
(Premier League)",eng ENG,DF,27,28.0,27.0,2396.0,1.0,0.0,0.0,0.0,0.9,0.4,16.0,70.0,11.0,0.04,0.0,0.03,0.01,37.5,0.11,0.13,8.6,1308.0,92.6,21828.0,96.3,95.6,63.6,5.0,11.0,1.0,0.0,70.0,1614.0,196.0,756.0,768.0,98.0,19.0,22.0,41.2,41.2,949.0,4786.0,16.0,2.0,15.0,8.0,1129.0,11.0,31.0,17.0,21.0,16.0,9.0,7.0,21.0,22.0,0.83,3.0,0.11,6.0,41.0,0.0,5.0,83.0,26.0,55.3,N/a,N/a,N/a,N/a
Fabian Schär,"2024-2025 Newcastle United Stats
(Premier League)",ch SUI,DF,33,27.0,26.0,2322.0,2.0,0.0,6.0,1.0,1.7,0.3,13.0,79.0,17.0,0.08,0.0,0.06,0.01,29.2,0.27,0.08,21.2,1284.0,83.1,25608.0,92.3,92.3,50.2,3.0,21.0,9.0,0.0,79.0,1806.0,216.0,953.0,752.0,111.0,28.0,30.0,63.6,18.2,1133.0,5080.0,13.0,2.0,11.0,6.0,1245.0,17.0,29.0,19.0,54.0,34.0,22.0,12.0,38.0,25.0,0.97,3.0,0.12,27.0,9.0,3.0,9.0,112.0,36.0,40.0,N/a,N/a,N/a,N/a
Fabio Carvalho,"2024-2025 Brentford Stats
(Premier League)",pt POR,"FW,MF",22,19.0,3.0,455.0,2.0,1.0,1.0,0.0,2.5,0.7,9.0,17.0,23.0,0.4,0.2,0.49,0.13,41.7,0.99,0.17,14.7,126.0,70.8,1755.0,83.0,71.1,38.9,4.0,3.0,5.0,1.0,17.0,247.0,4.0,44.0,91.0,113.0,22.0,13.0,14.3,71.4,137.0,698.0,9.0,0.0,13.0,8.0,145.0,23.0,13.0,9.0,6.0,6.0,1.0,5.0,3.0,10.0,1.97,1.0,0.2,5.0,10.0,1.0,10.0,30.0,2.0,25.0,N/a,N/a,N/a,N/a
Facundo Buonanotte,"2024-2025 Leicester City Stats
(Premier League)",ar ARG,"FW,MF",20,27.0,13.0,1399.0,4.0,2.0,7.0,0.0,3.6,3.0,37.0,49.0,63.0,0.26,0.13,0.23,0.2,32.3,0.64,0.13,17.8,413.0,77.1,6526.0,85.9,81.8,49.3,23.0,26.0,13.0,2.0,49.0,805.0,23.0,117.0,412.0,289.0,32.0,63.0,33.8,60.8,442.0,2806.0,37.0,8.0,51.0,37.0,491.0,63.0,48.0,27.0,31.0,32.0,6.0,26.0,10.0,46.0,2.96,4.0,0.26,33.0,32.0,3.0,40.0,74.0,14.0,31.1,N/a,N/a,N/a,N/a
Ferdi Kadioglu,"2024-2025 Brighton & Hove Albion Stats
(Premier League)",tr TUR,"DF,MF",25,6.0,5.0,385.0,1.0,0.0,1.0,0.0,0.4,0.2,1.0,15.0,27.0,0.23,0.0,0.1,0.04,25.0,0.23,0.25,15.1,144.0,82.3,2372.0,89.0,82.4,64.3,5.0,0.0,9.0,4.0,15.0,231.0,13.0,71.0,91.0,72.0,9.0,15.0,42.9,42.9,124.0,479.0,1.0,0.0,6.0,2.0,144.0,27.0,10.0,6.0,1.0,2.0,2.0,0.0,8.0,13.0,3.03,2.0,0.47,5.0,3.0,1.0,9.0,14.0,3.0,75.0,N/a,N/a,N/a,N/a
Filip Jørgensen,"2024-2025 Chelsea Stats
(Premier League)",dk DEN,GK,22,6.0,6.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,N/a,158.0,83.6,2843.0,100.0,97.5,27.5,0.0,0.0,0.0,0.0,0.0,202.0,174.0,201.0,1.0,0.0,0.0,0.0,N/a,N/a,145.0,676.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,N/a,1.5,71.4,16.7,0.0
Flynn Downes,"2024-2025 Southampton Stats
(Premier League)",eng ENG,MF,26,21.0,19.0,1611.0,1.0,0.0,10.0,0.0,0.6,0.9,21.0,55.0,26.0,0.06,0.0,0.03,0.05,33.3,0.17,0.11,17.6,782.0,89.9,11569.0,92.9,92.4,66.7,12.0,17.0,9.0,0.0,55.0,1048.0,71.0,315.0,560.0,179.0,19.0,31.0,30.8,53.8,494.0,2677.0,21.0,4.0,12.0,16.0,745.0,26.0,40.0,21.0,11.0,20.0,4.0,16.0,29.0,25.0,1.4,2.0,0.11,43.0,30.0,0.0,2.0,63.0,11.0,50.0,N/a,N/a,N/a,N/a
Fraser Forster,"2024-2025 Tottenham Hotspur Stats
(Premier League)",eng ENG,GK,37,7.0,7.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,N/a,168.0,84.8,3349.0,98.2,95.6,48.9,0.0,0.0,0.0,0.0,0.0,228.0,212.0,228.0,0.0,0.0,0.0,1.0,100.0,0.0,113.0,501.0,0.0,0.0,1.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.14,69.0,14.3,0.0
Gabriel Jesus,"2024-2025 Arsenal Stats
(Premier League)",br BRA,FW,28,17.0,6.0,608.0,3.0,0.0,4.0,0.0,3.0,0.7,15.0,19.0,57.0,0.44,0.0,0.44,0.1,35.0,1.04,0.15,11.1,156.0,76.8,2030.0,80.5,87.2,66.7,8.0,6.0,9.0,1.0,19.0,299.0,9.0,28.0,108.0,165.0,48.0,9.0,40.9,45.5,179.0,953.0,15.0,11.0,13.0,13.0,217.0,57.0,10.0,6.0,18.0,10.0,1.0,9.0,4.0,18.0,2.66,4.0,0.59,14.0,10.0,9.0,7.0,28.0,9.0,33.3,N/a,N/a,N/a,N/a
Gabriel Magalhães,"2024-2025 Arsenal Stats
(Premier League)",br BRA,DF,27,28.0,28.0,2363.0,3.0,1.0,4.0,0.0,2.6,0.9,10.0,126.0,11.0,0.11,0.04,0.1,0.03,22.7,0.19,0.14,9.5,1480.0,90.2,25788.0,96.9,94.2,53.9,13.0,22.0,8.0,0.0,126.0,1873.0,189.0,672.0,985.0,225.0,40.0,16.0,80.0,20.0,1116.0,4470.0,10.0,0.0,9.0,2.0,1366.0,11.0,25.0,15.0,37.0,42.0,29.0,13.0,16.0,35.0,1.33,6.0,0.23,19.0,19.0,0.0,9.0,63.0,53.0,58.9,N/a,N/a,N/a,N/a
Gabriel Martinelli,"2024-2025 Arsenal Stats
(Premier League)",br BRA,"FW,MF",23,27.0,19.0,1794.0,6.0,4.0,1.0,0.0,5.1,4.3,102.0,41.0,235.0,0.3,0.2,0.26,0.22,44.7,0.85,0.16,12.4,387.0,70.2,5670.0,81.8,67.9,55.8,33.0,27.0,28.0,13.0,41.0,793.0,13.0,79.0,207.0,519.0,149.0,20.0,29.7,54.5,526.0,3965.0,102.0,51.0,44.0,33.0,595.0,235.0,19.0,14.0,28.0,10.0,0.0,10.0,3.0,59.0,2.96,5.0,0.25,14.0,17.0,8.0,76.0,66.0,13.0,31.7,N/a,N/a,N/a,N/a
George Hirst,"2024-2025 Ipswich Town Stats
(Premier League)",sct SCO,FW,26,20.0,2.0,370.0,2.0,1.0,1.0,0.0,1.2,0.3,7.0,11.0,23.0,0.49,0.24,0.3,0.06,50.0,0.97,0.25,11.6,46.0,54.1,505.0,69.4,42.9,0.0,3.0,1.0,4.0,0.0,11.0,131.0,8.0,20.0,44.0,68.0,18.0,3.0,66.7,33.3,70.0,343.0,7.0,5.0,16.0,8.0,108.0,23.0,2.0,2.0,13.0,0.0,0.0,0.0,1.0,7.0,1.69,3.0,0.73,8.0,6.0,1.0,2.0,8.0,26.0,66.7,N/a,N/a,N/a,N/a
Georginio Rutter,"2024-2025 Brighton & Hove Albion Stats
(Premier League)",fr FRA,"MF,FW",22,28.0,19.0,1656.0,5.0,3.0,2.0,0.0,4.6,2.5,42.0,67.0,79.0,0.27,0.16,0.25,0.14,24.0,0.65,0.1,15.5,237.0,66.8,3344.0,77.0,66.7,62.5,19.0,36.0,16.0,1.0,67.0,641.0,20.0,83.0,246.0,326.0,79.0,36.0,38.0,47.9,361.0,2467.0,42.0,16.0,45.0,37.0,411.0,79.0,39.0,15.0,46.0,20.0,3.0,17.0,10.0,64.0,3.47,8.0,0.43,34.0,45.0,7.0,9.0,66.0,25.0,35.2,N/a,N/a,N/a,N/a
Gonçalo Guedes,"2024-2025 Wolverhampton Wanderers Stats
(Premier League)",pt POR,"MF,FW",28,24.0,7.0,770.0,2.0,4.0,1.0,0.0,2.2,1.1,31.0,30.0,58.0,0.23,0.47,0.25,0.13,38.9,0.82,0.11,19.9,186.0,72.7,3117.0,84.1,76.0,44.8,11.0,19.0,16.0,5.0,30.0,366.0,4.0,42.0,161.0,176.0,28.0,15.0,25.0,55.0,223.0,1693.0,31.0,5.0,33.0,14.0,247.0,58.0,14.0,4.0,10.0,9.0,0.0,9.0,5.0,23.0,2.69,8.0,0.94,14.0,15.0,3.0,16.0,34.0,3.0,23.1,N/a,N/a,N/a,N/a
Guglielmo Vicario,"2024-2025 Tottenham Hotspur Stats
(Premier League)",it ITA,GK,28,20.0,20.0,1800.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,N/a,660.0,89.8,12698.0,99.1,97.4,53.1,0.0,0.0,0.0,0.0,1.0,782.0,522.0,767.0,15.0,0.0,0.0,0.0,100.0,0.0,566.0,2646.0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.15,0.0,0.0,0.0,1.0,0.0,0.0,27.0,9.0,100.0,1.25,69.9,20.0,N/a
Guido Rodríguez,"2024-2025 West Ham United Stats
(Premier League)",ar ARG,MF,31,20.0,14.0,1018.0,0.0,0.0,5.0,0.0,0.2,0.1,2.0,31.0,5.0,0.0,0.0,0.02,0.01,12.5,0.09,0.0,27.8,419.0,84.1,7149.0,87.4,91.4,62.7,3.0,5.0,1.0,0.0,31.0,617.0,42.0,196.0,366.0,56.0,2.0,30.0,66.7,0.0,284.0,988.0,2.0,0.0,2.0,6.0,354.0,5.0,30.0,16.0,7.0,21.0,9.0,12.0,12.0,10.0,0.88,0.0,0.0,15.0,11.0,1.0,4.0,46.0,8.0,53.3,N/a,N/a,N/a,N/a
